"","sentence","length"
"437","• Witness Care Unit is the generic name to describe a police led function which provides information and support to victims and witnesses in cases progressing through the criminal justice system. This unit may be known by another name in your local area. The police will tell you the name of the unit who deliver the Rights assigned to the Witness Care Unit in this Code.↩",372
"438","• This only applies to the extent that the service provider has formally accepted responsibility for conducting a criminal investigation into the crime or has formally accepted responsibility for making a decision to prosecute that crime.↩",239
"439","• This is based on the criteria in section 16 of the Youth Justice and Criminal Evidence Act 1999 for the court to determine eligibility for special measures.↩",159
"440","• For general Enhanced Rights under this Code. However, in order to be eligible for special measures under section 16 of the Youth Justice and Criminal Evidence Act 1999, you must be under 18 at the time of the hearing.↩",220
"441","• This is based on the eligibility criteria for special measures in section 17 of the Youth Justice and Criminal Evidence Act 1999.↩",132
"442","• This includes both spoken and non-spoken interpreting, for example if a victim is deaf or hard of hearing.↩",109
"443","• You have the Right to report the crime in a language you understand or with the necessary linguistic assistance if you do not speak English.↩",143
"444","• See Right 6 for explanation of the Victims’ Right to Review.↩",63
"445","• Section 22(1) of the Welsh Language Act 1993 provides: “In any legal proceedings in Wales the Welsh language may be spoken by any party, witness or other person who desires to use it”. No prior notice to use the Welsh language is required in magistrates’ court proceedings. However, sometimes it is necessary for interpretation to be arranged, and prior notice will be given to the Welsh Language Unit to make necessary provisions.↩",434
"446","• Youth Offending Team is a multi-agency team which works with children between the ages of 10 and 17 who have offended or may be at risk of offending. They are coordinated by a given local authority and as part of the youth justice system are monitored by the Youth Justice Board.↩",282
"447","• www.apccs.police.uk/find-your-pcc/↩",37
"448","• www.apccs.police.uk/find-your-pcc/↩",37
"449","• The Youth Justice and Criminal Evidence Act 1999 introduced a range of measures that can be used to facilitate the gathering and giving of evidence by vulnerable and intimidated witnesses. The measures are collectively known as ‘special measures’. Special measures help to relieve some of the stress associated with giving evidence and apply to prosecution and defence witnesses, but not the defendant.↩",405
"450","• If you are considering making an application for criminal injuries compensation to the Criminal Injuries Compensation Authority, you should be aware that an award will be withheld unless you have cooperated as far as reasonably practicable in bringing the assailant to justice.↩",280
"451","• Eligibility for compensation from the Criminal Injuries Compensation Authority may depend on your residency or nationality unless you are conclusively identified by a competent authority as a victim of trafficking in human beings or granted asylum under Immigration Rules made under section 3(2) of the Immigration Act 1971.↩",327
"452","• Due to exceptional circumstances an application could not have been made earlier; and there is evidence available that a crime of violence occurred and a claims officer can make a decision without further extensive enquiries.↩",228
"453","• Monday – Friday, 10:00am – 3:00pm↩",36
"454","• Alternatives to prosecution, such as cautions, conditional cautions and penalty notices for disorder, intended for dealing with low level, often first-time offending, where prosecution would not be in the public interest.↩",224
"455","• Other service providers (listed on page 8 of this Code) will explain how to ask for a review through their own scheme.↩",121
"456","• Victims’ Right to Review specifically relates to decisions not to prosecute. It doesn’t cover crime-recording decisions or decisions not to continue with enquiries.↩",167
"457","• Specified cases where victims are entitled to meet with the Crown Prosecution Service are: child abuse; sexual offences; racially and religiously aggravated offences; offences with a homophobic or transphobic element; offences aggravated by hostility based on disability; and cases motivated by hostility based on age.↩",321
"458","• The cases where bereaved families are entitled to meet with the Crown Prosecution Service are: murder, manslaughter, corporate manslaughter, familial homicide, causing death by dangerous driving, causing death by careless driving while unfit through drink or drugs, causing death by careless driving or through inconsiderate driving, causing death by driving whilst unlicensed, disqualified or uninsured and aggravated vehicle taking where death is caused.↩",459
"459","• The minimum term of those offenders detained at Her Majesty’s Pleasure can be reviewed by the High Court once the offender has served half of their original minimum term, in light of progress and development made by the offender. This reflects the fact that young people change more rapidly than adults, in a way that may not have been fully apparent at the time of sentencing. Victims or the family of a deceased victim may submit a Victim Personal Statement to the High Court.↩",481
"460","• The Witness Care Unit will be unable to provide an explanation if the offender has been found not guilty by a jury, because the jury do not have to provide reasons for their decision.↩",186
"461","• The Crown Prosecution Service may also contact the Attorney General if they have concerns about the sentence.↩",112
"462","• The Attorney General is chief legal adviser to the Crown and has a number of independent public interest functions, as well as overseeing the Law Officers’ departments.↩",171
"463","• A sentence is ‘unduly lenient’ if it falls outside the normal range of sentences the judge could have reasonably considered appropriate.↩",139
"464","• If you attend a prison to present your Victim Personal Statement to the Parole Board panel you are eligible to claim certain expenses from the Parole Board, for example, for travel, or refreshments and meals. Your Victim Liaison Officer will be able to help if you have any questions about claiming these expenses.↩",317
"465","• Other service providers responsible for prosecuting an offence must have rules under which victims have the possibility of reimbursement of expenses incurred from attending court to give evidence.↩",199
"466","• As defined in section 45(2) of the Domestic Violence, Crime and Victims Act 2004.↩",84
"467","• Prison in this case can mean any place the person is liable to be detained, including for example a Young Offenders Institution.↩",131
"468","• Restrictions will be placed on a patient if the court considers that this is necessary for the protection of others from serious harm. The Secretary of State is involved in the management of ‘Restricted patients’. This means that the Secretary of State will make decisions about the offender’s rehabilitation. ‘Non-Restricted patients’ are managed by clinicians, and hospital managers.↩",388
"469","• The majority of prisoners are released automatically without any involvement from the Parole Board. The main categories of prisoner the Parole Board is responsible for considering the suitability for release of are: a), extended determinate sentence prisoners who can be released on licence after having served a specified part of their sentence in custody, b) indeterminate sentence prisoners such as those serving a life sentence or Imprisonment for Public Protection, and c) standard determinate sentence prisoners who have been recalled to custody after having breached their licence conditions.↩",602
"470","• For example, where it might put someone – the offender, victim or other person, at risk.↩",91
"471","• https://www.gov.uk/guidance/challenge-a-parole-decision↩",58
"472","• In exceptional circumstance requests can be made to shorten this period, if this happens victims will be informed.↩",117
"473","• A determinate prison sentence is for a fixed length of time. The prisoner will spend the first half or two-thirds (depending on the overall length of the sentence and offence) of the sentence in prison and the remaining portion in the community ‘on licence’. If they breach any licence conditions, for example they demonstrate poor behaviour which increases their risk, they could be recalled back to prison to serve the remainder of the sentence.↩",450
"474","• An offence listed in Annex C to Probation Instruction 15/2014 ‘Notification and review procedures for serious further offences’ (as amended from time to time). These are currently all serious violent or sexual offences which attract a maximum of 14 years imprisonment or an indeterminate sentence.↩",300
"475","• Service providers must have a clearly identified complaints process through which victims can make a complaint if their Rights under this Code have not been met.↩",164
"476","• Monday – Thursday, 8.30am - 5.00pm, and Friday, 8.30am – 12:00pm↩",67
"477","Report a problem with this page",31
"478","Don’t include personal or financial information like your National Insurance number or credit card details.",107
"479","This field is for robots only. Please leave blank",49
"480","To help us improve GOV.UK, we’d like to know more about your visit today. We’ll send you a link to a feedback form. It will take only 2 minutes to fill in. Don’t worry we won’t send you spam or share your email address with anyone.",231
"481","• Births, death, marriages and care",35
"482","• Citizenship and living in the UK",34
"483","• Passports, travel and living abroad",37
"484","• Policy papers and consultations",33
"485","All content is available under the Open Government Licence v3.0, except where otherwise stated",94
